"","Means Treated","Means Control","Std. Mean Diff.","Var. Ratio","eCDF Mean","eCDF Max","Std. Pair Dist."
"distance",0.657047719208053,0.320164504075226,1.19417924034776,1.7125454666613,0.224120346761856,0.567567567567568,1.19417924034776
"standard3",168.135135135135,168,0.00531861358383487,1.1141095073981,0.0425343376163048,0.162162162162162,1.06265899405025
"remoteness",0.513513513513513,0.27027027027027,0.486664263392288,NA,0.243243243243243,0.243243243243243,1.24369756200251
"student_teacher_ratio",29.3502138307764,34.7854521411907,-0.920027897331432,1.56873215773355,0.194288628250892,0.432432432432432,0.954167602975491
