"","Means Treated","Means Control","Std. Mean Diff.","Var. Ratio","eCDF Mean","eCDF Max","Std. Pair Dist."
"distance",0.28930083728409,0.034736947186907,1.26337511617602,4.65210184444505,0.447251211894557,0.794637437966368,NA
"standard3",168.135135135135,175.61822985469,-0.294517700261646,1.27576370808314,0.0610417829356855,0.135813488521547,NA
"remoteness",0.513513513513513,0.696169088507266,-0.365444645752964,NA,0.182655574993752,0.182655574993752,NA
"student_teacher_ratio",29.3502138307764,49.6288713673788,-3.43258742093359,0.251522234299961,0.441415016565834,0.815773501374558,NA
