"","Means Treated","Means Control","Std. Mean Diff.","Var. Ratio","eCDF Mean","eCDF Max","Std. Pair Dist."
"distance",0.736129331910888,0.232457493547755,1.89069758408893,1.19763369503752,0.408622908622909,0.671171171171171,NA
"standard3",168.135135135135,171.214285714286,-0.121188409517386,1.06447098787473,0.043211675287147,0.151866151866152,NA
"remoteness",0.513513513513513,0.166666666666667,0.693947190392706,NA,0.346846846846847,0.346846846846847,NA
"student_teacher_ratio",29.3502138307764,39.414022134427,-1.70351029043443,0.737724399716132,0.362290862290862,0.56949806949807,NA
