"","Means Treated","Means Control","Std. Mean Diff.","Var. Ratio","eCDF Mean","eCDF Max","Std. Pair Dist."
"distance",0.729731465173846,0.245059452039115,1.83762214930746,1.01872737657851,0.176499670402109,0.702702702702703,1.83762214930746
"standard3",168.135135135135,163.756756756757,0.172323080116257,1.26245657925259,0.0569369369369369,0.216216216216216,1.02755614439694
"remoteness",0.513513513513513,0.702702702702703,-0.378516649305113,NA,0.189189189189189,0.189189189189189,1.24369756200251
"student_teacher_ratio",29.3502138307764,38.8070434937351,-1.6007664454312,0.805582179785271,0.190342781806196,0.72972972972973,1.62820402527967
