"","Means Treated","Means Control","Std. Mean Diff.","Var. Ratio","eCDF Mean","eCDF Max","Std. Pair Dist."
"distance",0.657047719208053,0.183901947671046,1.67720097840149,1.70782595241974,0.400509204857031,0.655307481394438,NA
"standard3",168.135135135135,168.405797101449,-0.0106526434389281,0.979467307834841,0.0330116288776303,0.112416764590678,NA
"remoteness",0.513513513513513,0.202898550724638,0.621456941819781,NA,0.310614962788876,0.310614962788876,NA
"student_teacher_ratio",29.3502138307764,39.5270158356857,-1.72263684044818,0.778383799673329,0.368390129259694,0.567175871523698,NA
